topic~key,Book,Citation,bk1,c1,vf1,vt1,bk2,c2,vf2,vt2,bk3,c3,vf3,vt3,bk4,c4,vf4,vf4,bk5,c5,vf5,vt5,bk6,c6,vf6,vt6
le.ep.ge.hierarch~legeLI.Epistle.chapverse,Hebrews,7.26-28; 8.1-2,Hebrews,7,26,28,Hebrews,8,1,2,,,,,,,,,,,,,,,,
le.ep.ge.martyr~legeLI.Epistle.chapverse,2 Timothy,2.1-10,2 Timothy,2,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.ge.monastic~legeLI.Epistle.chapverse,Galatians,5.22-26; 6.1-2,Galatians,5,22,26,Galatians,6,1,2,,,,,,,,,,,,,,,,
le.ep.mc.d001~lemcLI.Epistle.chapverse,2 Timothy,3.10-15,2 Timothy,3,10,15,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d008~lemcLI.Epistle.chapverse,1 Corinthians,6.12-20,1 Corinthians,6,12,20,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d009~lemcLI.Epistle.chapverse,1 John,2.18-29; 3.1-8,1 John,2,18,29,1 John,3,1,8,,,,,,,,,,,,,,,,
le.ep.mc.d010~lemcLI.Epistle.chapverse,1 John,3.9-22,1 John,3,9,22,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d011~lemcLI.Epistle.chapverse,1 John,3.21-24; 4.1-11,1 John,3,21,24,1 John,4,1,11,,,,,,,,,,,,,,,,
le.ep.mc.d012~lemcLI.Epistle.chapverse,1 John,4.20-5.21,1 John,4,20,21,1 John,5,1,21,,,,,,,,,,,,,,,,
le.ep.mc.d013~lemcLI.Epistle.chapverse,2 John,1.1-13,2 John,1,1,13,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d014~lemcLI.Epistle.chapverse,1 Corinthians,10.23-28,1 Corinthians,10,23,28,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d015~lemcLI.Epistle.chapverse,1 Corinthians,8.8-13; 9.1-2,1 Corinthians,8,8,13,1 Corinthians,9,1,2,,,,,,,,,,,,,,,,
le.ep.mc.d016~lemcLI.Epistle.chapverse,3 John,1.1-15,3 John,1,1,15,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d017~lemcLI.Epistle.chapverse,Jude,1.1-10,Jude,1,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d019~lemcLI.Epistle.chapverse,Jude,1.11-25,Jude,1,11,25,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d021~lemcLI.Epistle.chapverse,Romans,14.19-23; 16.25-27,Romans,14,19,23,Romans,16,25,27,,,,,,,,,,,,,,,,
le.ep.mc.d022~lemcLI.Epistle.chapverse,Romans,13.11-14; 14.1-4,Romans,13,1,14,Romans,14,1,4,,,,,,,,,,,,,,,,
